reference,class_id
2013_12_18_15,3.0
2013_12_18_16,3.0
2013_12_18_17,3.0
2013_12_19_06,3.0
2013_12_19_07,3.0
2013_12_19_08,3.0
2013_12_19_09,4.0
2013_12_19_10,4.0
2013_12_19_11,4.0
2013_12_19_12,4.0
2013_12_19_13,4.0
2013_12_19_14,4.0
2013_12_19_15,4.0
2013_12_19_16,3.0
2013_12_19_17,3.0
2013_12_20_06,3.0
2013_12_20_07,3.0
2013_12_20_08,3.0
2013_12_20_09,3.0
2013_12_20_10,4.0
2013_12_20_11,4.0
2013_12_20_12,4.0
2013_12_20_13,4.0
2013_12_20_14,4.0
2013_12_20_15,4.0
2013_12_20_16,4.0
2013_12_20_17,3.0
2013_12_21_06,3.0
2013_12_21_07,3.0
2013_12_21_08,3.0
2013_12_21_09,4.0
2013_12_21_10,4.0
2013_12_21_11,4.0
2013_12_21_12,4.0
2013_12_21_13,4.0
2013_12_21_14,4.0
2013_12_21_15,4.0
2013_12_21_16,4.0
2013_12_21_17,4.0
2013_12_22_06,3.0
2013_12_22_07,3.0
2013_12_22_08,3.0
2013_12_22_09,4.0
2013_12_22_10,4.0
2013_12_22_11,4.0
2013_12_22_12,4.0
2013_12_22_13,4.0
2013_12_22_14,4.0
2013_12_22_15,4.0
2013_12_22_16,4.0
2013_12_22_17,4.0
2013_12_23_06,4.0
2013_12_23_07,4.0
2013_12_23_08,3.0
2013_12_23_09,4.0
2013_12_23_10,4.0
2013_12_23_11,4.0
2013_12_23_12,4.0
2013_12_23_13,4.0
2013_12_23_14,4.0
2013_12_23_15,4.0
2013_12_23_16,4.0
2013_12_23_17,4.0
2013_12_24_06,4.0
2013_12_24_07,4.0
2013_12_24_08,4.0
